,support,itemsets
163,0.0006788866259334691,"frozenset({'HEALTH EDUCATION, ASSESSMENT AND LEADERSHIP, INC. (""H.E.A.L.,INC."")'})"
164,0.0006788866259334691,frozenset({'HERMEUS CORP'})
165,0.0006788866259334691,"frozenset({'HIGHERECHELON, INC.'})"
166,0.0013577732518669382,frozenset({'HII MISSION TECHNOLOGIES CORP'})
167,0.0013577732518669382,"frozenset({'HUMAN SERVICES, GEORGIA DEPARTMENT OF'})"
168,0.0006788866259334691,"frozenset({'HURLEY JV, LLP'})"
169,0.0006788866259334691,frozenset({'I3 FEDERAL LLC'})
170,0.0006788866259334691,"frozenset({'ICF INCORPORATED, L.L.C.'})"
171,0.0006788866259334691,frozenset({'IESE SOLUTIONS'})
172,0.0006788866259334691,"frozenset({'INTEGRAL GLOBAL HEALTH, INC.'})"
173,0.0013577732518669382,"frozenset({'INTEGRATED QUALITY SOLUTIONS, LLC'})"
174,0.0013577732518669382,"frozenset({'INTERNATIONAL AUTO LOGISTICS, LLC'})"
175,0.0006788866259334691,"frozenset({'IPG DXTRA, INC.'})"
176,0.0006788866259334691,frozenset({'J KOKOLAKIS CONTRACTING INC'})
177,0.0006788866259334691,frozenset({'J. E. DUNN CONSTRUCTION COMPANY'})
178,0.0006788866259334691,"frozenset({'J.C. LEWIS PRIMARY HEALTHCARE CENTER, INC.'})"
179,0.0006788866259334691,"frozenset({'JANUS RESEARCH GROUP, LLC'})"
180,0.0033944331296673455,frozenset({'JCB INC.'})
181,0.0006788866259334691,"frozenset({'JOHNSON CONTROLS BUILDING AUTOMATION SYSTEMS, LLC'})"
182,0.0006788866259334691,"frozenset({'JOHNSON CONTROLS GOVERNMENT SYSTEMS, LLC'})"
183,0.0006788866259334691,"frozenset({'JONES LANG LASALLE AMERICAS, INC.'})"
184,0.0006788866259334691,frozenset({'KADIAK LLC'})
185,0.0006788866259334691,frozenset({'KARNA LLC'})
186,0.0027155465037338763,"frozenset({'KBR WYLE SERVICES, LLC'})"
187,0.0027155465037338763,frozenset({'KENNESAW STATE UNIVERSITY'})
188,0.0006788866259334691,"frozenset({'KGJJ ENGINEERING SOLUTIONS, LLC'})"
189,0.0006788866259334691,frozenset({'LEADER COMMUNICATIONS INC.'})
190,0.0006788866259334691,frozenset({'LEEBCOR SERVICES LLC'})
191,0.005431093007467753,"frozenset({'LEIDOS, INC.'})"
192,0.0006788866259334691,frozenset({'LEXISNEXIS RISK SOLUTIONS INC'})
193,0.0006788866259334691,frozenset({'LIBERTY UTILITIES (PEACH STATE NATURAL GAS) CORP.'})
194,0.002036659877800407,frozenset({'LIFE SCIENCE LOGISTICS LLC'})
195,0.0013577732518669382,frozenset({'LOCKHEED MARTIN AERONAUTICAL SYSTEMS SUPPORT COMPANY'})
196,0.04548540393754243,frozenset({'LOCKHEED MARTIN CORP'})
197,0.0013577732518669382,frozenset({'LOCKHEED MARTIN CORPORATION'})
198,0.0006788866259334691,"frozenset({'LUKOS, LLC'})"
199,0.0013577732518669382,frozenset({'M. A. MORTENSON COMPANY'})
200,0.0006788866259334691,"frozenset({'MACON-BIBB COUNTY ECONOMIC OPPORTUNITY COUNCIL, INC.'})"
201,0.0006788866259334691,frozenset({'MANAGEMENT & TRAINING CORPORATION'})
202,0.0006788866259334691,"frozenset({'MANHATTAN ASSOCIATES, INC.'})"
203,0.002036659877800407,frozenset({'MARINEX CONSTRUCTION INC'})
204,0.0006788866259334691,frozenset({'MCKING CONSULTING CORPORATION'})
205,0.0006788866259334691,frozenset({'MCKINNEY MEDICAL CENTER INC'})
206,0.0006788866259334691,frozenset({'MCKNIGHT CONSTRUCTION CO.'})
207,0.0006788866259334691,frozenset({'MCP COMPUTER PRODUCTS INC'})
208,0.0006788866259334691,frozenset({'MEDCURA HEALTH INC'})
209,0.0006788866259334691,"frozenset({'MEDLINK GEORGIA, INC.'})"
210,0.0006788866259334691,frozenset({'METAS SOLUTIONS LLC'})
211,0.0006788866259334691,frozenset({'METRO LOGICS INC'})
212,0.005431093007467753,frozenset({'METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY'})
213,0.0006788866259334691,frozenset({'MICROSOFT CORPORATION'})
214,0.0006788866259334691,frozenset({'MIDDLE GA COMMUNITY ACTION'})
